STN,NAME,DATE,AM/PM,TEMP_MIN,TEMP_AVE,TEMP_MAX,WIND_MIN,WIND_AVE,WIND_MAX,SKY,RAIN_AMT
TL19,장자도마을,20210902,PM,24.0,24.7,25.0,1.8,2.7,4.5,4,8.4
TL19,장자도마을,20210903,AM,23.0,24.0,25.0,2.5,3.4,4.3,4,0
TL19,장자도마을,20210903,PM,25.0,25.3,26.0,1.9,2.6,3.3,4,0
TL20,다대마을,20210901,AM,26.0,26.5,27.0,8.5,8.7,8.8,3,0
TL20,다대마을,20210901,PM,26.0,26.7,27.0,7.0,7.8,8.5,4,0
TL20,다대마을,20210902,AM,22.0,22.5,23.0,5.8,6.1,6.4,4,0
TL20,다대마을,20210902,PM,22.0,22.7,23.0,6.4,7.1,7.7,4,3.3
TL20,다대마을,20210903,AM,23.0,24.0,25.0,7.8,7.9,8.1,4,0
TL20,다대마을,20210903,PM,24.0,24.7,25.0,7.9,8.2,8.7,4,0
TL21,냉천마을,20210901,AM,27.0,28.0,29.0,7.8,8.5,9.2,4,0
TL21,냉천마을,20210901,PM,28.0,28.3,29.0,5.9,7.0,7.8,4,0
TL21,냉천마을,20210902,AM,23.0,23.5,24.0,4.8,4.9,5.0,4,1.5
TL21,냉천마을,20210902,PM,24.0,24.0,24.0,5.0,5.6,6.2,4,2.3
TL21,냉천마을,20210903,AM,23.0,24.5,26.0,4.8,5.6,6.4,4,0
TL21,냉천마을,20210903,PM,25.0,25.7,26.0,4.7,5.5,6.9,4,0
TL22,사금마을,20210901,AM,28.0,28.0,28.0,6.5,6.5,6.5,4,0
TL22,사금마을,20210901,PM,26.0,27.3,28.0,4.8,5.5,6.5,4,0
TL22,사금마을,20210902,AM,24.0,24.0,24.0,0.2,0.8,1.3,4,0
TL22,사금마을,20210902,PM,23.0,23.3,24.0,1.3,2.6,3.8,4,5.3
TL22,사금마을,20210903,AM,24.0,25.0,26.0,5.8,6.0,6.2,4,0
TL22,사금마을,20210903,PM,25.0,25.7,26.0,5.8,6.2,6.5,4,0
TL23,서중마을,20210901,AM,27.0,27.5,28.0,5.5,5.5,5.6,4,0
TL23,서중마을,20210901,PM,26.0,27.3,28.0,3.9,4.9,5.6,4,1.4
TL23,서중마을,20210902,AM,24.0,24.5,25.0,0.7,1.2,1.8,4,0
TL23,서중마을,20210902,PM,24.0,24.7,25.0,0.7,1.4,1.9,4,4.5
