STN,NAME,DATE,AM/PM,TEMP_MIN,TEMP_AVE,TEMP_MAX,WIND_MIN,WIND_AVE,WIND_MAX,SKY,RAIN_AMT
HS28,구조라해수욕장,20210831,PM,26.0,26.7,27.0,1.9,2.6,3.0,4,0
HS28,구조라해수욕장,20210901,AM,26.0,26.5,27.0,7.4,7.6,7.7,3,0
HS28,구조라해수욕장,20210901,PM,25.0,26.0,27.0,6.2,6.9,7.7,4,0
HS28,구조라해수욕장,20210902,AM,22.0,22.5,23.0,4.5,4.8,5.0,4,9.1
HS28,구조라해수욕장,20210902,PM,22.0,22.7,23.0,5.0,5.2,5.5,4,0.5
HS29,해운대해수욕장,20210831,AM,25.0,25.5,26.0,3.4,3.6,3.8,4,0.5
HS29,해운대해수욕장,20210831,PM,25.0,25.7,26.0,2.5,3.3,4.1,4,0
HS29,해운대해수욕장,20210901,AM,26.0,26.0,26.0,5.2,6.6,8.0,4,0
HS29,해운대해수욕장,20210901,PM,25.0,25.7,26.0,5.2,6.6,8.0,4,0
HS29,해운대해수욕장,20210902,AM,22.0,22.0,22.0,5.0,5.5,5.9,4,0.5
HS29,해운대해수욕장,20210902,PM,22.0,22.0,22.0,5.5,5.8,6.1,4,2.1
HS30,광안리해수욕장,20210831,AM,25.0,25.5,26.0,3.4,3.6,3.8,4,0.5
HS30,광안리해수욕장,20210831,PM,25.0,25.7,26.0,2.5,3.3,4.1,4,0
HS30,광안리해수욕장,20210901,AM,26.0,26.0,26.0,5.2,6.6,8.0,4,0
HS30,광안리해수욕장,20210901,PM,25.0,25.7,26.0,5.2,6.6,8.0,4,0
HS30,광안리해수욕장,20210902,AM,22.0,22.0,22.0,5.0,5.5,5.9,4,0.5
HS30,광안리해수욕장,20210902,PM,22.0,22.0,22.0,5.5,5.8,6.1,4,2.1
HS31,송도해수욕장,20210831,AM,26.0,26.5,27.0,2.8,3.0,3.1,4,0
HS31,송도해수욕장,20210831,PM,26.0,26.7,27.0,2.5,2.8,3.2,4,0
HS31,송도해수욕장,20210901,AM,26.0,26.5,27.0,4.9,5.6,6.2,4,0
HS31,송도해수욕장,20210901,PM,26.0,26.7,27.0,4.2,5.4,6.2,4,0
HS31,송도해수욕장,20210902,AM,23.0,23.0,23.0,3.8,4.2,4.7,4,1.7
HS31,송도해수욕장,20210902,PM,23.0,23.0,23.0,4.3,4.5,4.7,4,2.8
HS32,송정해수욕장,20210831,AM,24.0,25.0,26.0,3.0,3.4,3.7,4,0.6
HS32,송정해수욕장,20210831,PM,24.0,25.0,26.0,2.4,3.0,3.7,4,0
HS32,송정해수욕장,20210901,AM,25.0,25.5,26.0,5.0,6.8,8.5,4,0
HS32,송정해수욕장,20210901,PM,25.0,25.7,26.0,4.9,6.7,8.5,4,0
HS32,송정해수욕장,20210902,AM,22.0,22.0,22.0,4.9,5.2,5.5,4,0
HS32,송정해수욕장,20210902,PM,21.0,21.7,22.0,5.1,5.5,5.9,4,2.2
HS33,다대포해수욕장,20210831,AM,25.0,25.5,26.0,3.0,3.0,3.1,4,0
HS33,다대포해수욕장,20210831,PM,25.0,25.7,26.0,2.7,3.1,3.5,4,0
HS33,다대포해수욕장,20210901,AM,26.0,26.0,26.0,5.4,6.1,6.7,4,0
HS33,다대포해수욕장,20210901,PM,25.0,25.3,26.0,4.8,6.0,6.7,4,0
HS33,다대포해수욕장,20210902,AM,23.0,23.0,23.0,4.1,4.6,5.1,4,7.3
HS33,다대포해수욕장,20210902,PM,22.0,22.3,23.0,4.7,4.9,5.1,4,1.8
HS34,일광해수욕장,20210831,AM,25.0,26.0,27.0,2.7,3.1,3.5,4,0.6
HS34,일광해수욕장,20210831,PM,25.0,26.0,27.0,2.2,2.8,3.5,4,0
HS34,일광해수욕장,20210901,AM,26.0,26.5,27.0,4.3,6.3,8.4,4,0
HS34,일광해수욕장,20210901,PM,25.0,26.0,27.0,3.1,5.8,8.4,4,0
HS34,일광해수욕장,20210902,AM,22.0,22.0,22.0,4.6,4.7,4.8,4,0
HS34,일광해수욕장,20210902,PM,22.0,22.3,23.0,4.4,4.9,5.4,4,3.8
HS35,경포해수욕장,20210831,AM,24.0,24.0,24.0,0.5,1.5,2.5,4,0
HS35,경포해수욕장,20210831,PM,22.0,23.0,24.0,0.8,2.0,2.6,4,0
HS35,경포해수욕장,20210901,AM,19.0,19.5,20.0,6.2,6.5,6.7,4,32.3
HS35,경포해수욕장,20210901,PM,20.0,20.0,20.0,3.9,4.9,6.2,4,28.4
HS35,경포해수욕장,20210902,AM,21.0,21.5,22.0,2.8,3.2,3.7,4,9
HS35,경포해수욕장,20210902,PM,21.0,21.7,22.0,2.9,3.3,3.7,4,0
HS36,망상해수욕장,20210831,AM,24.0,24.0,24.0,1.2,1.4,1.6,4,0
HS36,망상해수욕장,20210831,PM,21.0,22.7,24.0,0.8,1.3,1.6,4,0
HS36,망상해수욕장,20210901,AM,19.0,19.0,19.0,3.9,4.7,5.5,4,41
HS36,망상해수욕장,20210901,PM,19.0,19.3,20.0,2.8,3.3,3.9,4,31.7
HS36,망상해수욕장,20210902,AM,21.0,21.5,22.0,3.0,3.2,3.4,4,15.4
HS36,망상해수욕장,20210902,PM,21.0,21.7,22.0,2.6,3.1,3.4,4,0
HS37,속초해수욕장,20210831,AM,24.0,24.5,25.0,1.3,2.5,3.8,4,0
HS37,속초해수욕장,20210831,PM,22.0,23.7,25.0,1.4,3.4,5.0,4,0
HS37,속초해수욕장,20210901,AM,19.0,19.5,20.0,4.9,5.7,6.5,4,22.8
HS37,속초해수욕장,20210901,PM,20.0,20.0,20.0,2.5,3.7,4.9,4,23.5
HS37,속초해수욕장,20210902,AM,21.0,22.0,23.0,2.9,3.5,4.0,4,10
HS37,속초해수욕장,20210902,PM,21.0,22.3,23.0,3.0,3.6,4.0,3,0
HS38,낙산해수욕장,20210831,AM,24.0,24.5,25.0,0.4,1.6,2.7,4,0
HS38,낙산해수욕장,20210831,PM,22.0,23.3,25.0,0.3,2.2,3.6,4,0
HS38,낙산해수욕장,20210901,AM,19.0,19.5,20.0,4.7,4.8,5.0,4,26.3
HS38,낙산해수욕장,20210901,PM,20.0,20.0,20.0,3.0,3.7,4.7,4,28.2
HS38,낙산해수욕장,20210902,AM,21.0,22.0,23.0,2.7,3.0,3.4,4,18
HS38,낙산해수욕장,20210902,PM,21.0,22.3,23.0,2.7,3.1,3.4,3,0
HS39,영일대해수욕장,20210831,AM,22.0,23.0,24.0,1.2,1.4,1.7,4,3.4
HS39,영일대해수욕장,20210831,PM,24.0,24.0,24.0,1.7,2.4,3.3,4,0.6
HS39,영일대해수욕장,20210901,AM,24.0,24.0,24.0,1.7,3.0,4.2,4,0.6
HS39,영일대해수욕장,20210901,PM,22.0,23.7,25.0,1.7,3.3,4.8,4,15
HS39,영일대해수욕장,20210902,AM,22.0,22.0,22.0,4.6,4.7,4.7,4,2.8
HS39,영일대해수욕장,20210902,PM,22.0,22.0,22.0,4.1,4.5,4.7,4,0
HS40,월포해수욕장,20210831,AM,21.0,22.0,23.0,1.5,1.6,1.8,4,10.4
HS40,월포해수욕장,20210831,PM,22.0,22.7,23.0,1.5,2.3,3.2,4,0
HS40,월포해수욕장,20210901,AM,22.0,22.5,23.0,2.7,2.8,2.9,4,2.1
HS40,월포해수욕장,20210901,PM,21.0,23.3,26.0,2.9,4.4,6.0,4,20
HS40,월포해수욕장,20210902,AM,21.0,21.0,21.0,5.2,5.2,5.2,4,3.1
HS40,월포해수욕장,20210902,PM,20.0,20.7,21.0,4.5,4.9,5.2,4,0
HS41,주문진해수욕장,20210831,AM,24.0,24.5,25.0,0.2,1.2,2.2,4,0
HS41,주문진해수욕장,20210831,PM,21.0,23.0,25.0,0.8,1.9,2.8,4,0
HS41,주문진해수욕장,20210901,AM,19.0,19.5,20.0,5.3,5.3,5.4,4,31.5
HS41,주문진해수욕장,20210901,PM,20.0,20.0,20.0,3.3,4.2,5.3,4,29.2
HS41,주문진해수욕장,20210902,AM,21.0,22.0,23.0,2.6,3.0,3.3,4,15.5
HS41,주문진해수욕장,20210902,PM,21.0,22.3,23.0,2.5,3.0,3.3,4,0
HS42,고래불해수욕장,20210831,AM,20.0,20.5,21.0,0.1,0.9,1.6,4,1.2
HS42,고래불해수욕장,20210831,PM,19.0,20.3,21.0,0.1,0.9,1.4,4,2
HS42,고래불해수욕장,20210901,AM,19.0,19.0,19.0,5.2,6.4,7.6,4,18.7
HS42,고래불해수욕장,20210901,PM,19.0,19.3,20.0,5.2,5.9,6.2,4,20.1
HS42,고래불해수욕장,20210902,AM,19.0,19.5,20.0,4.5,4.6,4.7,4,3
HS42,고래불해수욕장,20210902,PM,19.0,19.7,20.0,4.0,4.2,4.5,4,0
HS43,화진포해수욕장,20210831,AM,24.0,24.5,25.0,2.4,3.0,3.7,4,0
HS43,화진포해수욕장,20210831,PM,21.0,23.0,25.0,2.1,3.3,4.1,4,0
HS43,화진포해수욕장,20210901,AM,19.0,19.5,20.0,3.0,3.5,4.0,4,17.1
HS43,화진포해수욕장,20210901,PM,20.0,20.0,20.0,1.6,2.4,3.0,4,11.6
HS43,화진포해수욕장,20210902,AM,21.0,22.0,23.0,2.3,2.6,3.0,4,0
HS43,화진포해수욕장,20210902,PM,21.0,22.3,23.0,2.5,2.8,3.0,3,0
HS44,관성해수욕장,20210831,AM,23.0,24.0,25.0,1.9,2.2,2.5,4,0.5
HS44,관성해수욕장,20210831,PM,24.0,24.7,25.0,2.4,2.8,3.5,4,0
HS44,관성해수욕장,20210901,AM,24.0,24.5,25.0,2.5,3.6,4.7,4,0
HS44,관성해수욕장,20210901,PM,23.0,24.3,25.0,2.3,3.7,4.7,4,5.9
HS44,관성해수욕장,20210902,AM,22.0,22.0,22.0,3.7,3.8,3.8,4,1.6
HS44,관성해수욕장,20210902,PM,22.0,22.3,23.0,3.7,4.3,4.9,4,0
HS46,삼척해수욕장,20210831,AM,25.0,25.0,25.0,1.7,1.9,2.0,4,0
HS46,삼척해수욕장,20210831,PM,24.0,24.3,25.0,0.1,1.2,2.0,4,0
HS46,삼척해수욕장,20210901,AM,20.0,20.5,21.0,5.6,7.3,9.0,4,42.4
HS46,삼척해수욕장,20210901,PM,21.0,21.0,21.0,3.9,4.7,5.6,4,32.5
HS46,삼척해수욕장,20210902,AM,22.0,22.0,22.0,4.1,4.2,4.2,4,9.5
HS46,삼척해수욕장,20210902,PM,22.0,22.3,23.0,3.3,3.8,4.1,4,0
HS47,송지호해수욕장,20210831,AM,23.0,23.5,24.0,1.7,2.8,3.8,4,0
HS47,송지호해수욕장,20210831,PM,22.0,23.0,24.0,2.0,3.5,4.7,4,0
HS47,송지호해수욕장,20210901,AM,20.0,20.0,20.0,4.3,5.2,6.2,4,21.6
HS47,송지호해수욕장,20210901,PM,20.0,20.0,20.0,2.1,3.2,4.3,4,18.8
HS47,송지호해수욕장,20210902,AM,21.0,21.5,22.0,2.6,3.0,3.5,4,1
HS47,송지호해수욕장,20210902,PM,21.0,21.7,22.0,2.7,3.2,3.5,3,0
HS49,칠포해수욕장,20210831,AM,22.0,23.0,24.0,1.9,2.0,2.2,4,5.2
HS49,칠포해수욕장,20210831,PM,23.0,23.7,24.0,1.9,2.9,3.8,4,0
HS49,칠포해수욕장,20210901,AM,23.0,23.5,24.0,3.3,3.9,4.4,4,1.9
HS49,칠포해수욕장,20210901,PM,22.0,24.0,26.0,3.3,6.0,8.5,4,17
HS49,칠포해수욕장,20210902,AM,22.0,22.0,22.0,7.2,7.2,7.2,4,3.6
HS49,칠포해수욕장,20210902,PM,22.0,22.0,22.0,6.2,6.8,7.2,4,0
HS50,진하해수욕장,20210831,AM,24.0,25.0,26.0,2.9,3.4,3.9,4,0.5
HS50,진하해수욕장,20210831,PM,24.0,25.0,26.0,2.3,2.9,3.5,4,0
HS50,진하해수욕장,20210901,AM,24.0,24.5,25.0,4.2,6.5,8.8,4,0
HS50,진하해수욕장,20210901,PM,24.0,24.3,25.0,2.5,5.7,8.8,4,0
HS50,진하해수욕장,20210902,AM,22.0,22.0,22.0,5.1,5.2,5.3,4,0
HS50,진하해수욕장,20210902,PM,22.0,22.0,22.0,4.6,5.4,6.6,4,1.8
HS51,변산해수욕장,20210831,AM,24.0,25.5,27.0,2.3,2.6,2.9,4,6.5
HS51,변산해수욕장,20210831,PM,26.0,26.7,27.0,1.4,2.1,2.9,4,0
HS51,변산해수욕장,20210901,AM,25.0,25.5,26.0,4.6,5.8,6.9,4,4.8
HS51,변산해수욕장,20210901,PM,24.0,25.0,26.0,3.5,4.3,4.8,4,39.8
HS51,변산해수욕장,20210902,AM,23.0,24.0,25.0,3.0,3.5,4.0,4,0
HS51,변산해수욕장,20210902,PM,24.0,24.7,25.0,0.8,3.0,4.1,4,0.5
HS52,선유도해수욕장,20210831,AM,24.0,25.5,27.0,1.5,2.6,3.8,4,4.8
HS52,선유도해수욕장,20210831,PM,26.0,26.3,27.0,1.5,2.6,3.7,4,0
HS52,선유도해수욕장,20210901,AM,25.0,25.5,26.0,4.1,4.8,5.5,4,15.7
HS52,선유도해수욕장,20210901,PM,24.0,25.0,26.0,4.0,4.3,4.9,4,32.3
HS52,선유도해수욕장,20210902,AM,24.0,24.5,25.0,3.1,4.0,4.8,4,0
