생산일,코드,항로명,선박명,선박종류,예측일자,시간,운항시간,운항시간점수,선박톤수,선박톤수점수,최소파고,평균파고,최대파고,파고점수,최소풍속,평균풍속,최대풍속,풍속점수,총점수,예보지수
20210826,SK3,군산-어청,뉴어청훼리,고속선,20210828,AM,2.7,2,121,2,0.1,0.2,0.4,5,1.8,3.2,4.7,4,3.80,좋음
20210826,SK3,군산-어청,뉴어청훼리,고속선,20210828,PM,2.7,2,121,2,0.2,0.3,0.4,5,2.3,5.7,7.5,3,3.57,좋음
20210826,SK14,격포-위도,파장금카페리,고속선,20210828,AM,0.8,4,322,2,0.1,0.2,0.2,5,4.0,4.6,5.7,3,3.97,좋음
20210826,SK14,격포-위도,파장금카페리,고속선,20210828,PM,0.8,4,322,2,0.2,0.2,0.2,5,5.0,6.0,6.9,3,3.97,좋음
20210826,SK18,목포-홍도,뉴골드스타,초쾌속선,20210828,AM,2.5,2,308,2,0.1,0.6,0.9,4,0.5,4.6,7.2,3,3.12,보통
20210826,SK18,목포-홍도,뉴골드스타,초쾌속선,20210828,PM,2.5,2,308,2,0.1,0.6,0.8,4,2.9,4.8,6.6,3,3.12,보통
20210826,SK18,목포-홍도,남해엔젤,초쾌속선,20210828,AM,2.5,2,319,2,0.1,0.6,0.9,4,0.5,4.6,7.2,3,3.12,보통
20210826,SK18,목포-홍도,남해엔젤,초쾌속선,20210828,PM,2.5,2,319,2,0.1,0.6,0.8,4,2.9,4.8,6.6,3,3.12,보통
20210826,SK4,목포-제주,퀸제누비아,카페리,20210828,AM,4.5,1,27391,5,0.1,0.7,1.4,3,0.5,5.6,10.8,2,1.50,나쁨
20210826,SK4,목포-제주,퀸제누비아,카페리,20210828,PM,4.5,1,27391,5,0.1,0.6,1.2,3,0.1,5.7,10.5,2,1.50,나쁨
20210826,SK4,목포-제주,퀸메리,카페리,20210828,AM,4.5,1,13665,5,0.1,0.7,1.4,3,0.5,5.6,10.8,2,1.50,나쁨
20210826,SK4,목포-제주,퀸메리,카페리,20210828,PM,4.5,1,13665,5,0.1,0.6,1.2,3,0.1,5.7,10.5,2,1.50,나쁨
